Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Oct 2014,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2014,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2014,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2015,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2016,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2017,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2018,Prince Edward Island,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
